id;nome;descrizione;stato
1;interfaces;../fake-data/blob/hipster.txt;DISATTIVO
2;Automotive payment Connecticut;../fake-data/blob/hipster.txt;DISATTIVO
3;card;../fake-data/blob/hipster.txt;ATTIVO
4;Manager wireless Shore;../fake-data/blob/hipster.txt;DISATTIVO
5;Virgin Islands, U.S.;../fake-data/blob/hipster.txt;ATTIVO
6;monitor transmit Intranet;../fake-data/blob/hipster.txt;ATTIVO
7;National;../fake-data/blob/hipster.txt;ATTIVO
8;next-generation Brooks;../fake-data/blob/hipster.txt;DISATTIVO
9;Credit Card Account Tenge Louisiana;../fake-data/blob/hipster.txt;DISATTIVO
10;Pitcairn Islands Lead holistic;../fake-data/blob/hipster.txt;ATTIVO
