id;nome;ora_inizio;minuti_inizio;ora_fine;minuti_fine;lunedi;martedi;mercoledi;giovedi;venerdi;sabato;domenica;festivi;stato
1;Bike Ergonomic Rubber Fish Uganda Shilling;VENTI;TRENTA;DODICI;SESSANTA;false;false;false;false;true;false;false;false;DISATTIVO
2;deploy SCSI primary;DODICI;QUINDICI;VENTUNO;TRENTA;true;false;true;false;false;true;false;true;ATTIVO
3;solid state;VENTI;TRENTA;DUE;TRENTA;true;true;true;false;true;false;true;true;ATTIVO
4;teal Lead;DICIASETTE;TRENTA;DIECI;QUINDICI;false;false;true;true;true;false;true;true;DISATTIVO
5;Money Market Account local pink;OTTO;QUINDICI;SEDICI;QUINDICI;false;true;true;false;true;false;true;true;DISATTIVO
6;Data;TRE;SESSANTA;DODICI;QUINDICI;true;true;true;false;true;true;false;true;DISATTIVO
7;implement;UNDICI;TRENTA;VENTIDUE;TRENTA;false;false;true;false;false;true;false;true;DISATTIVO
8;Practical Up-sized web-readiness;SETTE;QUARANTACINQUE;CINQUE;SESSANTA;false;false;true;true;false;true;false;true;ATTIVO
9;Planner invoice;QUATTORDICI;TRENTA;ZERO;SESSANTA;false;true;true;true;true;false;true;false;ATTIVO
10;Refined Concrete Pizza Metal;DIECI;QUINDICI;DICIOTTO;SESSANTA;true;false;false;true;true;true;false;false;ATTIVO
